Seeker start X=5, Y=0
Turn 0	seeker_found = 0
Turn 1	seeker_found = 0
Turn 2	seeker_found = 0
Turn 3	seeker_found = 0
Turn 4	seeker_found = 0
Turn 5	seeker_found = 0
Turn 6	seeker_found = 0
Turn 7	seeker_found = 0
Turn 8	seeker_found = 0
Turn 9	seeker_found = 0
Turn 76	seeker_found = 0 at location X=9, Y=9	hider_found = 0 at location X=1, Y=3
Turn 77	seeker_found = 0 at location X=9, Y=9	hider_found = 0 at location X=1, Y=3
Turn 78	seeker_found = 0 at location X=9, Y=9	hider_found = 0 at location X=0, Y=3
Turn 79	seeker_found = 0 at location X=8, Y=9	hider_found = 0 at location X=0, Y=3
Turn 80	seeker_found = 0 at location X=8, Y=9	hider_found = 0 at location X=1, Y=3
Turn 81	seeker_found = 0 at location X=8, Y=9	hider_found = 0 at location X=1, Y=3
Turn 82	seeker_found = 0 at location X=8, Y=9	hider_found = 0 at location X=1, Y=4
Turn 83	seeker_found = 0 at location X=9, Y=9	hider_found = 0 at location X=1, Y=5
Turn 84	seeker_found = 0 at location X=9, Y=9	hider_found = 0 at location X=1, Y=5
Turn 85	seeker_found = 0 at location X=9, Y=9	hider_found = 0 at location X=1, Y=5
Turn 86	seeker_found = 0 at location X=9, Y=8	hider_found = 0 at location X=1, Y=5
Turn 87	seeker_found = 0 at location X=9, Y=7	hider_found = 0 at location X=1, Y=5
Turn 88	seeker_found = 0 at location X=9, Y=6	hider_found = 0 at location X=1, Y=5
Turn 89	seeker_found = 0 at location X=9, Y=5	hider_found = 0 at location X=1, Y=4
Turn 90	seeker_found = 0 at location X=9, Y=4	hider_found = 0 at location X=1, Y=3
Turn 91	seeker_found = 0 at location X=9, Y=4	hider_found = 0 at location X=1, Y=3
Turn 92	seeker_found = 0 at location X=9, Y=5	hider_found = 0 at location X=0, Y=3
Turn 93	seeker_found = 0 at location X=9, Y=6	hider_found = 0 at location X=0, Y=3
Turn 94	seeker_found = 0 at location X=9, Y=7	hider_found = 0 at location X=1, Y=3
Turn 95	seeker_found = 0 at location X=9, Y=8	hider_found = 0 at location X=1, Y=3
Turn 96	seeker_found = 0 at location X=9, Y=9	hider_found = 0 at location X=1, Y=3
Turn 97	seeker_found = 0 at location X=9, Y=9	hider_found = 0 at location X=1, Y=4
Turn 98	seeker_found = 0 at location X=9, Y=8	hider_found = 0 at location X=1, Y=5
Turn 99	seeker_found = 0 at location X=9, Y=7	hider_found = 0 at location X=1, Y=5
Turn 100	seeker_found = 0 at location X=9, Y=6	hider_found = 0 at location X=1, Y=5
Turn 101	seeker_found = 0 at location X=9, Y=5	hider_found = 0 at location X=0, Y=5
Turn 102	seeker_found = 0 at location X=9, Y=4	hider_found = 0 at location X=0, Y=5
Turn 103	seeker_found = 0 at location X=9, Y=4	hider_found = 0 at location X=1, Y=5
Turn 104	seeker_found = 0 at location X=9, Y=5	hider_found = 0 at location X=1, Y=5
Turn 105	seeker_found = 0 at location X=9, Y=6	hider_found = 0 at location X=1, Y=4
Turn 106	seeker_found = 0 at location X=9, Y=7	hider_found = 0 at location X=1, Y=3
Turn 107	seeker_found = 0 at location X=9, Y=8	hider_found = 0 at location X=1, Y=3
Turn 108	seeker_found = 0 at location X=9, Y=9	hider_found = 0 at location X=1, Y=3
Turn 109	seeker_found = 0 at location X=9, Y=9	hider_found = 0 at location X=1, Y=3
Turn 110	seeker_found = 0 at location X=9, Y=9	hider_found = 0 at location X=0, Y=3
Turn 111	seeker_found = 0 at location X=8, Y=9	hider_found = 0 at location X=0, Y=3
Turn 112	seeker_found = 0 at location X=8, Y=9	hider_found = 0 at location X=1, Y=3
Turn 113	seeker_found = 0 at location X=9, Y=9	hider_found = 0 at location X=1, Y=3
Turn 114	seeker_found = 0 at location X=9, Y=9	hider_found = 0 at location X=0, Y=3
Turn 115	seeker_found = 0 at location X=9, Y=8	hider_found = 0 at location X=0, Y=3
Turn 116	seeker_found = 0 at location X=9, Y=7	hider_found = 0 at location X=1, Y=3
Turn 117	seeker_found = 0 at location X=9, Y=6	hider_found = 0 at location X=1, Y=3
Turn 118	seeker_found = 0 at location X=9, Y=5	hider_found = 0 at location X=0, Y=3
Turn 119	seeker_found = 0 at location X=9, Y=4	hider_found = 0 at location X=0, Y=3
Turn 120	seeker_found = 0 at location X=9, Y=4	hider_found = 0 at location X=0, Y=4
Turn 121	seeker_found = 0 at location X=8, Y=4	hider_found = 0 at location X=0, Y=5
Turn 122	seeker_found = 0 at location X=8, Y=4	hider_found = 0 at location X=0, Y=5
Turn 123	seeker_found = 0 at location X=8, Y=3	hider_found = 0 at location X=0, Y=5
Turn 124	seeker_found = 0 at location X=8, Y=2	hider_found = 0 at location X=0, Y=5
Turn 125	seeker_found = 0 at location X=8, Y=1	hider_found = 0 at location X=0, Y=4
Turn 126	seeker_found = 0 at location X=8, Y=0	hider_found = 0 at location X=0, Y=3
Turn 127	seeker_found = 0 at location X=8, Y=0	hider_found = 0 at location X=0, Y=3
Turn 128	seeker_found = 0 at location X=9, Y=0	hider_found = 0 at location X=0, Y=3
Turn 129	seeker_found = 0 at location X=9, Y=0	hider_found = 0 at location X=0, Y=3
Turn 130	seeker_found = 0 at location X=9, Y=1	hider_found = 0 at location X=0, Y=3
Turn 131	seeker_found = 0 at location X=9, Y=2	hider_found = 0 at location X=0, Y=3
Turn 132	seeker_found = 0 at location X=9, Y=2	hider_found = 0 at location X=0, Y=4
Turn 133	seeker_found = 0 at location X=9, Y=2	hider_found = 0 at location X=0, Y=5
Turn 134	seeker_found = 0 at location X=9, Y=1	hider_found = 0 at location X=0, Y=5
Turn 135	seeker_found = 0 at location X=9, Y=0	hider_found = 0 at location X=1, Y=5
Turn 136	seeker_found = 0 at location X=9, Y=0	hider_found = 0 at location X=1, Y=5
Turn 137	seeker_found = 0 at location X=9, Y=0	hider_found = 0 at location X=1, Y=4
Turn 138	seeker_found = 0 at location X=9, Y=0	hider_found = 0 at location X=1, Y=3
Turn 139	seeker_found = 0 at location X=9, Y=0	hider_found = 0 at location X=1, Y=3
Turn 140	seeker_found = 0 at location X=9, Y=1	hider_found = 0 at location X=1, Y=3
Turn 141	seeker_found = 0 at location X=9, Y=2	hider_found = 0 at location X=1, Y=3
Turn 142	seeker_found = 0 at location X=9, Y=2	hider_found = 0 at location X=0, Y=3
Turn 143	seeker_found = 0 at location X=9, Y=2	hider_found = 0 at location X=0, Y=3
Turn 144	seeker_found = 0 at location X=9, Y=1	hider_found = 0 at location X=1, Y=3
Turn 145	seeker_found = 0 at location X=9, Y=0	hider_found = 0 at location X=1, Y=3
Turn 146	seeker_found = 0 at location X=9, Y=0	hider_found = 0 at location X=1, Y=3
Turn 147	seeker_found = 0 at location X=9, Y=0	hider_found = 0 at location X=1, Y=4
Turn 148	seeker_found = 0 at location X=9, Y=1	hider_found = 0 at location X=1, Y=5
Turn 149	seeker_found = 0 at location X=9, Y=2	hider_found = 0 at location X=1, Y=5
